x,y,token
-44.872986,8.934728,taught
-24.906721,-1.8571907,played
-60.182415,-31.687088,five
24.753613,-17.416761,old
23.100857,31.973425,devoted
-12.895952,8.676074,powers
26.914894,41.426945,attach
14.84765,33.60237,amuse
25.690546,53.438606,health
1.7598783,-38.422264,through
12.946586,-19.319422,various
-0.99506295,0.90537035,childhood
24.528486,-24.575817,large
15.342576,44.07389,debt
38.09882,39.04712,gratitude
28.158813,11.916668,owing
36.177544,-8.165485,here
30.3115,29.7688,intercourse
36.809116,-2.2466538,last
-61.34665,-31.622684,seven
21.403662,16.300228,equal
27.686722,22.045753,footing
-12.163918,15.020268,perfect
32.12469,28.011227,unreserve
42.8323,15.213265,soon
-18.418282,-1.6673903,followed
50.81449,32.071842,isabella
40.49046,-24.48688,their
14.782657,-10.87606,each
30.96811,-15.545983,other
8.897775,8.865674,yet
16.583097,43.036438,dearer
35.668728,25.087242,recollection
37.069855,29.56011,companion
18.294258,18.78036,such
3.6185763,0.8833755,few
-49.61931,-3.4795964,possessed
18.777145,27.600943,intelligent
42.567043,20.905268,informed
19.334904,38.304398,useful
-0.9327299,32.00875,knowing
-26.202164,8.344296,ways
38.64391,42.237007,interested
10.506367,-32.465,its
34.75433,31.996284,concerns
26.725925,28.718605,peculiarly
20.63105,46.388096,pleasure
44.5439,28.442295,scheme
32.502743,27.074049,hers
-22.889174,17.52868,whom
0.3072808,57.637978,could
-25.53648,33.493378,speak
-53.586323,-5.4104533,arose
1.8156878,32.71656,never
10.211787,44.503757,find
-10.66833,44.71542,fault
-21.186512,23.977592,bear
18.609253,43.297127,change
-1.8505627,47.04236,?--
9.768572,23.107813,true
51.35535,3.9305797,going
32.456707,-15.167521,half
21.897692,-20.778223,mile
40.423035,-24.052069,them
20.078003,39.637245,aware
24.76489,-24.476458,great
-0.7196059,56.257637,must
15.961557,41.821106,difference
48.829395,39.05577,mrs_weston
28.708769,32.14716,advantages
17.70232,19.939814,natural
28.689554,31.866076,domestic
35.558323,48.09785,suffering
15.507861,17.218182,intellectual
29.018261,16.853096,solitude
-30.65467,35.90896,dearly
-30.088928,36.98548,loved
40.026463,-23.183212,he
-14.404408,31.068768,meet
38.745865,33.208748,conversation
27.602003,33.52196,rational
-27.71335,24.16511,evil
21.700214,16.051989,actual
15.952425,41.883068,disparity
-5.828602,-5.667894,ages
-8.917261,27.32249,increased
25.323378,30.414082,constitution
29.082975,32.03464,habits
-11.537982,15.7395315,life
4.663051,11.968992,without
27.373566,24.69204,activity
27.058151,48.610615,mind
3.4046173,11.139786,body
23.496,47.478443,older
8.909609,8.882232,though
4.378971,-6.096098,everywhere
26.821363,22.826843,friendliness
-23.963804,11.832619,heart
21.5223,33.274284,amiable
-42.220802,-41.260406,talents
35.22372,30.380236,recommended
40.253048,-23.610994,him
36.64472,-2.966286,time
16.576502,-13.914877,comparatively
-13.158953,28.623371,removed
14.108982,42.269756,matrimony
49.03293,23.078865,settled
21.27226,-19.043232,london
22.025063,-20.946167,miles
42.825798,-42.209023,off
13.684112,-7.991871,beyond
-3.7496603,19.377003,daily
8.88056,-8.03927,reach
50.442017,13.747843,october
50.604443,13.975335,november
32.79552,-28.628578,struggled
53.01095,25.40538,hartfield
49.131584,3.0430377,christmas
48.669464,2.158485,next
49.107193,27.244198,visit
-64.208725,10.477833,husband
-24.911127,3.4610283,children
-18.158754,-3.7657084,fill
-9.386684,36.17253,give
27.762709,31.55124,society
42.389442,-25.240992,again
54.153996,25.08289,highbury
-4.5783772,-32.92749,populous
30.951118,0.7985394,village
14.69567,-28.244505,almost
51.5216,21.988909,town
35.090782,23.117325,spite
3.080824,-2.5013442,separate
16.62408,-46.074883,lawn
-55.599915,7.267897,name
10.596564,35.67019,really
12.561241,49.545795,belong
32.017487,31.00284,afforded
-9.258802,15.8799095,equals
41.364964,-37.789726,looked
41.572308,-43.499607,up
38.510254,43.566967,acquaintance
25.151768,26.469082,universally
16.91444,36.318825,civil
-40.032024,-4.208238,among
-3.9210875,21.59352,accepted
37.702377,11.596779,melancholy
49.94783,-7.902822,sigh
2.4316614,44.01237,wish
14.302708,39.158504,impossible
17.840275,11.959236,things
-22.148733,-7.6558166,till
0.3553523,19.125778,awoke
39.241447,-19.523714,made
21.409214,40.26503,necessary
20.178576,23.21774,cheerful
30.974293,28.209263,spirits
39.959637,27.483284,required
35.343567,27.82216,support
32.733635,26.063953,nervous
13.487544,40.056232,easily
29.275381,7.6177936,depressed
11.160671,34.125507,used
18.348167,2.2724187,part
18.512383,22.065392,kind
14.346679,14.056309,origin
18.16856,49.275055,reconciled
-63.747997,10.301729,daughter
27.081194,45.936996,marrying
-18.027876,23.692621,nor
1.7069229,32.50258,ever
-7.106683,25.205132,compassion
15.016907,29.369894,entirely
35.962257,-14.361072,when
